spawn bash -c cat .run-ssh | ssh root@10.10.11.131 'bash -s' 
root@10.10.11.131's password: 
PING 2.12.0.2 (2.12.0.2) 56(84) bytes of data.
64 bytes from 2.12.0.2: icmp_seq=1 ttl=64 time=0.248 ms
64 bytes from 2.12.0.2: icmp_seq=2 ttl=64 time=0.144 ms
64 bytes from 2.12.0.2: icmp_seq=3 ttl=64 time=0.154 ms
64 bytes from 2.12.0.2: icmp_seq=4 ttl=64 time=0.151 ms
64 bytes from 2.12.0.2: icmp_seq=5 ttl=64 time=0.144 ms
64 bytes from 2.12.0.2: icmp_seq=6 ttl=64 time=0.141 ms
64 bytes from 2.12.0.2: icmp_seq=7 ttl=64 time=0.138 ms
64 bytes from 2.12.0.2: icmp_seq=8 ttl=64 time=0.149 ms
64 bytes from 2.12.0.2: icmp_seq=9 ttl=64 time=0.141 ms
64 bytes from 2.12.0.2: icmp_seq=10 ttl=64 time=0.146 ms
64 bytes from 2.12.0.2: icmp_seq=11 ttl=64 time=0.142 ms
64 bytes from 2.12.0.2: icmp_seq=12 ttl=64 time=0.136 ms
64 bytes from 2.12.0.2: icmp_seq=13 ttl=64 time=0.144 ms
64 bytes from 2.12.0.2: icmp_seq=14 ttl=64 time=0.141 ms
64 bytes from 2.12.0.2: icmp_seq=15 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=16 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=17 ttl=64 time=0.141 ms
64 bytes from 2.12.0.2: icmp_seq=18 ttl=64 time=0.139 ms
64 bytes from 2.12.0.2: icmp_seq=19 ttl=64 time=0.142 ms
64 bytes from 2.12.0.2: icmp_seq=20 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=21 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=22 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=23 ttl=64 time=0.152 ms
64 bytes from 2.12.0.2: icmp_seq=24 ttl=64 time=0.142 ms
64 bytes from 2.12.0.2: icmp_seq=25 ttl=64 time=0.141 ms
64 bytes from 2.12.0.2: icmp_seq=26 ttl=64 time=0.141 ms
64 bytes from 2.12.0.2: icmp_seq=27 ttl=64 time=0.133 ms
64 bytes from 2.12.0.2: icmp_seq=28 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=29 ttl=64 time=0.142 ms
64 bytes from 2.12.0.2: icmp_seq=30 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=31 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=32 ttl=64 time=0.154 ms
64 bytes from 2.12.0.2: icmp_seq=33 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=34 ttl=64 time=0.164 ms
64 bytes from 2.12.0.2: icmp_seq=35 ttl=64 time=0.141 ms
64 bytes from 2.12.0.2: icmp_seq=36 ttl=64 time=0.142 ms
64 bytes from 2.12.0.2: icmp_seq=37 ttl=64 time=0.141 ms
64 bytes from 2.12.0.2: icmp_seq=38 ttl=64 time=0.140 ms
64 bytes from 2.12.0.2: icmp_seq=39 ttl=64 time=0.142 ms
64 bytes from 2.12.0.2: icmp_seq=48 ttl=64 time=0.162 ms
