spawn bash -c cat .run-ssh | ssh -o 'StrictHostKeyChecking no' root@10.10.11.131 'bash -s'
root@10.10.11.131's password: 
PING 2.6.0.2 (2.6.0.2) 56(84) bytes of data.
64 bytes from 2.6.0.2: icmp_seq=307 ttl=63 time=0.171 ms
64 bytes from 2.6.0.2: icmp_seq=308 ttl=63 time=0.222 ms
64 bytes from 2.6.0.2: icmp_seq=316 ttl=63 time=0.237 ms
64 bytes from 2.6.0.2: icmp_seq=317 ttl=63 time=0.218 ms
64 bytes from 2.6.0.2: icmp_seq=318 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=319 ttl=63 time=0.232 ms
64 bytes from 2.6.0.2: icmp_seq=320 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=321 ttl=63 time=0.216 ms
64 bytes from 2.6.0.2: icmp_seq=322 ttl=63 time=0.232 ms
64 bytes from 2.6.0.2: icmp_seq=323 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=324 ttl=63 time=0.234 ms
64 bytes from 2.6.0.2: icmp_seq=325 ttl=63 time=0.234 ms
64 bytes from 2.6.0.2: icmp_seq=326 ttl=63 time=0.205 ms
64 bytes from 2.6.0.2: icmp_seq=327 ttl=63 time=0.191 ms
64 bytes from 2.6.0.2: icmp_seq=328 ttl=63 time=0.249 ms
64 bytes from 2.6.0.2: icmp_seq=329 ttl=63 time=0.200 ms
64 bytes from 2.6.0.2: icmp_seq=330 ttl=63 time=0.171 ms
64 bytes from 2.6.0.2: icmp_seq=331 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=332 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=333 ttl=63 time=0.217 ms
64 bytes from 2.6.0.2: icmp_seq=334 ttl=63 time=0.172 ms
64 bytes from 2.6.0.2: icmp_seq=335 ttl=63 time=0.178 ms
64 bytes from 2.6.0.2: icmp_seq=336 ttl=63 time=0.226 ms
64 bytes from 2.6.0.2: icmp_seq=337 ttl=63 time=0.186 ms
64 bytes from 2.6.0.2: icmp_seq=338 ttl=63 time=0.170 ms
64 bytes from 2.6.0.2: icmp_seq=339 ttl=63 time=0.178 ms
64 bytes from 2.6.0.2: icmp_seq=340 ttl=63 time=0.172 ms
64 bytes from 2.6.0.2: icmp_seq=341 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=342 ttl=63 time=0.240 ms
64 bytes from 2.6.0.2: icmp_seq=343 ttl=63 time=0.215 ms
64 bytes from 2.6.0.2: icmp_seq=344 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=345 ttl=63 time=0.171 ms
64 bytes from 2.6.0.2: icmp_seq=346 ttl=63 time=0.218 ms
59 ttl=63 time=0.208 ms
64 bytes from 2.6.0.2: icmp_seq=460 ttl=63 time=0.173 ms
64 bytes from 2.6.0.2: icmp_seq=461 ttl=63 time=0.219 ms
64 bytes from 2.6.0.2: icmp_seq=462 ttl=63 time=0.195 ms
64 bytes from 2.6.0.2: icmp_seq=463 ttl=63 time=0.232 ms
64 bytes from 2.6.0.2: icmp_seq=464 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=466 ttl=63 time=0.256 ms
560 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=561 ttl=63 time=0.233 ms
